,itemid,count,label
0,3565,3825,Parent Info given
1,2848,1,JP #1 R SITE/DRAINAG
2,2026,2,High time
3,6158,1,"Lytes,Trig,Bili"
4,3028,1,p high
5,2409,1,nitro mcg/kg/min
6,225771,262,Sheath Zero/Calibrate
7,4349,28,Chloral Hydrate
8,4718,1,Broviac dsg Change
9,3370,471,Cobedding
10,4466,11,hep B
11,223837,9216,ETT Size (ID)
12,224890,1354,Impaired Skin Cleanse #4
13,6873,1,low MV
14,2961,1,leprudin
15,496,1767,PCA Dose
16,8394,6172,INV Line#3 [Site]
17,2265,5,MVO2
18,6122,1,PRE OP PREP
19,4888,9,lasix
20,1101,14,PROTONIX
21,2311,7,VT
22,6967,1,right arm elevated
23,227597,6,Impaired Skin Depth #10
24,599,27150,RUL Lung Sounds
25,8533,16,"Seizure [Duration, seconds]"
26,3323,1030,BP Right Leg [Systolic]
27,3071,1,ACE WRAP B LEGS
28,6810,1,APNEA sec
29,2769,1,left radial ABP
30,225118,13181,Difficulty swallowing
31,224144,530,Blood Flow (ml/min)
32,4321,4,Glycerine
33,227366,4518,16 Gauge Dressing Occlusive
34,6169,1,Diaper
35,225099,14352,Judgement
36,1820,2,alcohol bath
37,4875,27,cyclopentolate
38,224854,85,Reason for Restraint (Acute Medical/Surgical)_V1
39,7477,1,hood
40,3652,5508,Temp Axillary [F]
41,228344,2372,"OCAT - Saliva secretions, Voice quality"
42,227056,2,Thrombolytic therapy
43,2627,1,RIGHT FEM ALINE
44,5729,10,bair hugger
45,5587,1,CYCLOSPORIN --MG/HR
46,6466,1,P-Low
47,359,863,ImpSkin Treatment #4
48,1060,18,ammonia
49,225003,20,Incision Closure #6
50,3322,1030,BP Right Leg [Mean]
51,26,1185,AaDO2
52,8549,17384,HR Alarm [High]
53,228307,3080,GI #1 Tube Place Check
54,227837,287,Toileting
55,1478,1,pericard drain irr.
56,3367,331,Circumcision
57,1543,1,chest tube drsg.
58,7003,2,Broviac dressing sie
59,227677,41,Reason for Restraint/Seclusion (Violent)
60,1229,8,sling
61,227346,21701,Mental status
62,220739,21873,GCS - Eye Opening
63,227021,7,Intubated_ApacheIV
64,6312,6,Abdominal Binder
65,3483,2361,Kangaroo Care [Time]
66,2150,3,CHEST PT
67,5565,3,Isuprel
68,7981,1,G tube dsg
69,4650,4,Umbilical Hernia
70,220277,21904,O2 saturation pulseoxymetry
71,224889,2223,Impaired Skin Cleanse #3
72,3666,340,Transducer Calibrate
73,224178,234,Small Volume Neb Dose #2
74,2640,1,SJ PH
75,1726,2,HIGH MIN VENT
76,4722,1,Atropine eye oint
77,224692,9954,Flow Pattern
78,8519,67,Hernia [Left]
79,1116,1,passey-muir valve
80,224960,1201,Impaired Skin Wound Base #4
81,1487,16,hi min vent
82,786,24693,Calcium (8.4-10.2)
83,220580,521,Ammonia
84,4388,10,EYE EXAM
85,226730,11811,Height (cm)
86,8087,1,sigh rate
87,227916,167,Rest HR -  Aerobic Activity Response
88,5142,1,Butt Paste
89,7245,1,CALCIUM GLUC ML/HR
90,2755,2,XIGRIS CC/HR
91,3142,3,high rr
92,541,2,PetCO2/TcCO2
93,7697,2,LEG ROLL
94,1582,6,P high
95,4198,1,Retic count (.0-1.5)
96,226746,5,ApacheII chronic health
97,7818,1,Chest Dressing
98,5796,1,lochia
99,227570,4008,Small Volume Neb Drug/Dose #1
100,2452,1,LEG DSD CHANGE
101,6960,4,teds
102,6068,1,dtap-hepb-ipv comb.
103,5605,8,Miconazole Powder
104,5080,4,K phos
105,537,173,Pericard Drain Site
106,5099,1,NaCl Supps
107,2300,1,L LEG WAFFLE BOOT
108,224450,1,Traction/Immobile #3
109,7214,1,prednisolone nosedrp
110,8372,91,Brachial Pulse [Left]
111,8178,1,Heated Aerosol Neb
112,227782,1504,Impaired Skin  - Dressing Status #3
113,4475,11,Insulin
114,6680,1,trusopt
115,227429,9678,Troponin-T
116,6003,1,ph level
117,325,21274,IV Site Appear #2
118,223991,20777,Cough Effort
119,223947,20507,PostTib. Pulses L
120,142,492,Current Goal
121,1999,1,Pronator Drift
122,226753,13,DswfApacheScore
123,227834,230,LE Bathing
124,1333,1,perineum care
125,6782,3,nephrostomy
126,4986,14,Vi-Daylin
127,3124,1,LEFT AXILLA PULSE
128,5561,1,INEXSUFF
129,5048,28,trivisol
130,225958,121,Heparin Concentration (units/mL)
131,3510,55,Molding
132,7300,5,hairwashed
133,7088,1,Right Fem site
134,5329,1,Dopamine
135,4910,13,glycerin supp.
136,227683,48,Restraint/Seclusion Observer Sheet
137,3335,4931,Boundaries
138,6309,1,24hr Caregiver
139,227808,37,Heliox
140,228153,2,Dual Signal Screen
141,6585,1,NPH units
142,8399,33,INV Line#8 [Site]
143,227537,1820,ART Blood Pressure Alarm - High
144,226892,169,Re-admit < 48 hours
145,3045,1,SPONT VT
146,227752,2042,Cordis/Introducer Placement Confirmed by X-ray
147,7027,3,vacuum
148,227783,872,Impaired Skin - Dressing Status  #4
149,1389,1,egg crate
150,1364,2,ALCOHOL BATH
151,224084,21843,Activity
152,655,8478,Spontaneous Movement
153,2019,1,High min vol.
154,6465,1,P-High
155,6987,1,bladder pse.
156,167,17744,Education Learner
157,224991,134,Undermining Present #7
158,6163,1,Lumbar drain output
159,5656,3,phenylephrine
160,8446,219,Orthostatic BP lying [Diastolic]
161,478,27155,Oral Cavity
162,227000,7,BUN_ApacheIV
163,8523,620,IV #3 [Location]
164,226137,12711,18 Gauge placed in outside facility
165,6170,1,Actual PEFR
166,1982,5,HIGH MV ALARM
167,224988,576,Undermining Present #4
168,220587,11482,AST
169,458,74,Nares [Right]
